%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1574069785820768405,53,1574069785820633188,base_link,111000.0,222000.0,-379000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069786060301704,54,1574069786060073926,base_link,114000.0,217000.0,-377000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069786297774451,55,1574069786297423343,base_link,111000.0,216000.0,-369000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069786532848122,56,1574069786532616666,base_link,104000.0,221000.0,-373000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069786785251422,57,1574069786784905174,base_link,122000.0,216000.0,-383000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069787019754063,58,1574069787019552914,base_link,123000.0,218000.0,-371000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069787260611738,59,1574069787260202320,base_link,112000.0,217000.0,-368000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069787502769140,60,1574069787502453808,base_link,109000.0,217000.0,-370000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069787733342222,61,1574069787732972790,base_link,113000.0,216000.0,-380000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069787976203214,62,1574069787975992759,base_link,116000.0,217000.0,-378000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069788226364073,63,1574069788226005957,base_link,110000.0,218000.0,-370000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069788470585867,64,1574069788470334043,base_link,108000.0,221000.0,-372000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069788711749140,65,1574069788711352307,base_link,112000.0,221000.0,-379000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069788930337791,66,1574069788930133833,base_link,112000.0,218000.0,-380000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069789181723628,67,1574069789181500083,base_link,118000.0,218000.0,-379000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069789414387237,68,1574069789414116212,base_link,107000.0,221000.0,-369000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069789655469142,69,1574069789655225299,base_link,109000.0,218000.0,-369000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069789896893050,70,1574069789896563766,base_link,109000.0,222000.0,-377000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069790136261078,71,1574069790136056075,base_link,118000.0,218000.0,-373000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069790385455171,72,1574069790385095431,base_link,114000.0,218000.0,-368000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069790614672254,73,1574069790614463070,base_link,106000.0,217000.0,-375000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069790862016097,74,1574069790861781913,base_link,114000.0,217000.0,-376000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069791105318907,75,1574069791105118414,base_link,116000.0,218000.0,-367000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069791340517564,76,1574069791340102459,base_link,109000.0,220000.0,-372000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069791590771657,77,1574069791590498164,base_link,107000.0,217000.0,-370000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069791814971031,78,1574069791814570745,base_link,115000.0,218000.0,-380000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069792055815600,79,1574069792055632475,base_link,116000.0,221000.0,-375000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069792311370778,80,1574069792311056739,base_link,111000.0,219000.0,-371000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069792529456106,81,1574069792529269867,base_link,109000.0,221000.0,-370000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069792786689257,82,1574069792786325525,base_link,115000.0,217000.0,-376000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069793019965170,83,1574069793019714999,base_link,114000.0,218000.0,-374000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069793257896777,84,1574069793257516047,base_link,111000.0,218000.0,-375000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069793501076397,85,1574069793500870515,base_link,105000.0,223000.0,-370000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069793733671365,86,1574069793733288562,base_link,114000.0,220000.0,-377000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069793932633919,87,1574069793932437391,base_link,116000.0,223000.0,-375000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069794181371851,88,1574069794180945600,base_link,118000.0,220000.0,-374000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069794415240740,89,1574069794414983062,base_link,114000.0,221000.0,-377000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069794655025054,90,1574069794654796671,base_link,116000.0,220000.0,-377000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069794891623116,91,1574069794891304096,base_link,118000.0,217000.0,-378000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069795135984709,92,1574069795135608178,base_link,118000.0,220000.0,-381000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069795374224822,93,1574069795373837842,base_link,114000.0,217000.0,-378000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069795646564046,94,1574069795646162323,base_link,117000.0,218000.0,-374000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069795847500954,95,1574069795847295210,base_link,118000.0,215000.0,-374000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069796086951294,96,1574069796086710710,base_link,119000.0,217000.0,-372000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069796356843907,97,1574069796356640993,base_link,124000.0,212000.0,-368000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069796585798730,98,1574069796585384193,base_link,122000.0,217000.0,-367000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069796813461666,99,1574069796813256148,base_link,118000.0,209000.0,-369000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069797048284496,100,1574069797048066493,base_link,121000.0,216000.0,-372000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069797321857310,101,1574069797321586094,base_link,120000.0,213000.0,-367000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069797532366556,102,1574069797532209285,base_link,117000.0,215000.0,-365000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069797770407189,103,1574069797770000514,base_link,120000.0,213000.0,-366000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069798009726914,104,1574069798009514161,base_link,119000.0,212000.0,-371000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069798263602947,105,1574069798263293152,base_link,126000.0,215000.0,-369000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069798495174045,106,1574069798495029361,base_link,120000.0,211000.0,-367000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069798730906790,107,1574069798730540735,base_link,118000.0,211000.0,-373000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069798970548634,108,1574069798970356689,base_link,116000.0,221000.0,-375000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069799235049238,109,1574069799234695418,base_link,125000.0,213000.0,-373000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069799454484674,110,1574069799454300062,base_link,122000.0,211000.0,-368000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069799700311140,111,1574069799699944510,base_link,121000.0,216000.0,-372000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069799933050333,112,1574069799932891157,base_link,115000.0,209000.0,-372000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069800175716206,113,1574069800175323740,base_link,119000.0,214000.0,-369000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069800450800311,114,1574069800450556332,base_link,116000.0,216000.0,-371000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069800648099406,115,1574069800647659779,base_link,118000.0,215000.0,-373000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069800889566384,116,1574069800889302688,base_link,120000.0,209000.0,-374000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069801130334954,117,1574069801129884049,base_link,123000.0,216000.0,-369000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069801381383523,118,1574069801381108498,base_link,116000.0,212000.0,-366000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069801631435983,119,1574069801631064837,base_link,121000.0,213000.0,-368000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069801854321670,120,1574069801854173633,base_link,119000.0,211000.0,-364000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069802100423796,121,1574069802100036398,base_link,123000.0,214000.0,-369000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069802337374785,122,1574069802337190913,base_link,125000.0,213000.0,-371000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069802620843262,123,1574069802620353261,base_link,114000.0,215000.0,-367000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069802815391663,124,1574069802815216298,base_link,123000.0,213000.0,-374000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069803055330072,125,1574069803054927691,base_link,125000.0,209000.0,-372000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069803290150032,126,1574069803289864217,base_link,118000.0,212000.0,-367000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069803531457224,127,1574069803531093054,base_link,125000.0,214000.0,-358000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069803792156631,128,1574069803791990393,base_link,123000.0,210000.0,-364000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069804016259896,129,1574069804015862543,base_link,120000.0,209000.0,-369000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069804256422497,130,1574069804256210444,base_link,128000.0,210000.0,-360000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069804487263955,131,1574069804486927464,base_link,120000.0,208000.0,-366000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069804770648628,132,1574069804770414262,base_link,122000.0,211000.0,-369000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069804972362267,133,1574069804971984625,base_link,121000.0,212000.0,-369000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069805224811207,134,1574069805224493887,base_link,130000.0,204000.0,-367000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069805452589119,135,1574069805452348949,base_link,126000.0,204000.0,-363000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069805715124224,136,1574069805714730782,base_link,131000.0,209000.0,-364000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069805957190797,137,1574069805956908202,base_link,130000.0,218000.0,-364000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069806173187283,138,1574069806172827712,base_link,121000.0,216000.0,-369000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069806432995042,139,1574069806432893857,base_link,103000.0,211000.0,-368000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069806678268518,140,1574069806677831362,base_link,110000.0,218000.0,-365000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069806922172451,141,1574069806921981185,base_link,108000.0,222000.0,-369000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069807135822399,142,1574069807135447979,base_link,105000.0,220000.0,-368000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069807375433148,143,1574069807375259024,base_link,111000.0,216000.0,-358000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069807643094798,144,1574069807642717942,base_link,103000.0,218000.0,-366000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069807856295919,145,1574069807856098885,base_link,102000.0,226000.0,-368000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069808086388691,146,1574069808085982614,base_link,100000.0,228000.0,-367000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069808338479443,147,1574069808338249938,base_link,96000.0,223000.0,-359000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069808597156851,148,1574069808596783772,base_link,67000.0,224000.0,-365000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069808814601880,149,1574069808814371330,base_link,55000.0,223000.0,-358000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069809044569891,150,1574069809044139797,base_link,55000.0,224000.0,-366000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069809322490606,151,1574069809322294395,base_link,58000.0,228000.0,-367000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069809544350067,152,1574069809544142343,base_link,54000.0,219000.0,-362000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069809770577401,153,1574069809770180288,base_link,56000.0,217000.0,-368000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069810015121901,154,1574069810014856537,base_link,55000.0,221000.0,-371000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069810244934989,155,1574069810244539100,base_link,49000.0,222000.0,-368000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069810511906367,156,1574069810511683189,base_link,44000.0,224000.0,-363000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069810736093209,157,1574069810735676645,base_link,42000.0,224000.0,-365000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069810966258042,158,1574069810966013512,base_link,42000.0,215000.0,-369000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069811220746822,159,1574069811220357749,base_link,48000.0,221000.0,-367000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069811449125218,160,1574069811448985004,base_link,60000.0,222000.0,-363000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069811735607341,161,1574069811735212009,base_link,70000.0,216000.0,-373000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069811931824529,162,1574069811931538699,base_link,69000.0,218000.0,-361000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069812176591853,163,1574069812176247974,base_link,84000.0,227000.0,-367000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069812432269044,164,1574069812432064577,base_link,88000.0,219000.0,-360000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069812651584186,165,1574069812651285570,base_link,98000.0,223000.0,-355000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069812905135225,166,1574069812904982769,base_link,97000.0,226000.0,-358000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069813130745474,167,1574069813130486009,base_link,96000.0,225000.0,-355000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069813374783299,168,1574069813374370918,base_link,103000.0,234000.0,-350000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069813615278579,169,1574069813614993271,base_link,97000.0,240000.0,-345000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069813852428594,170,1574069813852039036,base_link,91000.0,244000.0,-347000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069814092170173,171,1574069814091984741,base_link,84000.0,243000.0,-341000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069814339601232,172,1574069814339224908,base_link,91000.0,247000.0,-336000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069814569187942,173,1574069814568992856,base_link,86000.0,241000.0,-340000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069814816083318,174,1574069814815671214,base_link,93000.0,237000.0,-362000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069815048848161,175,1574069815048559045,base_link,91000.0,236000.0,-346000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069815302771570,176,1574069815302538123,base_link,95000.0,238000.0,-357000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069815529744581,177,1574069815529595269,base_link,96000.0,234000.0,-355000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069815785696671,178,1574069815785316273,base_link,76000.0,239000.0,-350000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069816015071845,179,1574069816014859189,base_link,79000.0,243000.0,-351000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069816262134388,180,1574069816261728159,base_link,88000.0,246000.0,-348000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069816489304337,181,1574069816489150200,base_link,108000.0,244000.0,-334000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069816734611236,182,1574069816734347400,base_link,110000.0,247000.0,-342000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069816969033606,183,1574069816968712387,base_link,101000.0,252000.0,-344000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069817208902411,184,1574069817208699928,base_link,99000.0,242000.0,-324000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069817454719872,185,1574069817454284531,base_link,74000.0,253000.0,-342000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069817699024382,186,1574069817698666075,base_link,78000.0,250000.0,-340000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069817955521768,187,1574069817955379276,base_link,80000.0,253000.0,-335000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069818215085120,188,1574069818214683056,base_link,94000.0,248000.0,-336000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069818412192980,189,1574069818411798636,base_link,89000.0,252000.0,-339000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069818647452057,190,1574069818647223570,base_link,105000.0,241000.0,-334000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069818887360907,191,1574069818887023702,base_link,91000.0,257000.0,-348000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069819151789344,192,1574069819151625422,base_link,98000.0,246000.0,-351000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069819373640403,193,1574069819373222129,base_link,99000.0,232000.0,-345000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069819615327126,194,1574069819615135274,base_link,104000.0,236000.0,-360000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069819867510079,195,1574069819867146311,base_link,114000.0,229000.0,-357000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069820123070484,196,1574069820122873867,base_link,122000.0,228000.0,-353000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069820345045892,197,1574069820344655398,base_link,122000.0,225000.0,-340000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069820584492471,198,1574069820584339659,base_link,125000.0,227000.0,-344000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069820822634755,199,1574069820822211448,base_link,129000.0,217000.0,-351000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069821064976388,200,1574069821064773601,base_link,129000.0,199000.0,-367000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069821295904694,201,1574069821295709386,base_link,130000.0,187000.0,-379000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069821541176577,202,1574069821540994868,base_link,128000.0,179000.0,-369000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069821793294850,203,1574069821792995019,base_link,122000.0,173000.0,-383000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069822031034360,204,1574069822030644675,base_link,127000.0,166000.0,-374000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069822247824561,205,1574069822247591128,base_link,114000.0,162000.0,-383000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069822492344228,206,1574069822491963746,base_link,126000.0,177000.0,-384000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069822734775748,207,1574069822734586835,base_link,123000.0,199000.0,-377000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069822991116122,208,1574069822990741212,base_link,123000.0,225000.0,-352000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069823212099651,209,1574069823211896457,base_link,136000.0,235000.0,-343000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069823451607107,210,1574069823451202477,base_link,141000.0,226000.0,-332000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069823689591741,211,1574069823689355114,base_link,127000.0,231000.0,-354000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069823936082276,212,1574069823935709219,base_link,127000.0,229000.0,-362000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069824190247532,213,1574069824190000810,base_link,128000.0,215000.0,-359000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069824413991848,214,1574069824413511266,base_link,122000.0,217000.0,-358000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069824652169339,215,1574069824651993375,base_link,131000.0,216000.0,-363000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
