%time,field.header.seq,field.header.stamp,field.header.frame_id,field.connected,field.armed,field.guided,field.manual_input,field.mode,field.system_status
1574069785509805904,39,1574069784744614073,,1,0,0,1,ALT_HOLD,3
1574069785737815566,40,1574069785737666876,,1,0,0,1,ALT_HOLD,3
1574069786831146764,41,1574069786830785187,,1,0,0,1,ALT_HOLD,3
1574069787829675800,42,1574069787829306253,,1,0,0,1,ALT_HOLD,3
1574069788783166967,43,1574069788782816535,,1,0,0,1,ALT_HOLD,3
1574069789741273729,44,1574069789741034077,,1,0,0,1,ALT_HOLD,3
1574069790737786380,45,1574069790737594634,,1,0,0,1,ALT_HOLD,3
1574069791739159334,46,1574069791738809210,,1,0,0,1,ALT_HOLD,3
1574069792846370167,47,1574069792846013433,,1,0,0,1,ALT_HOLD,3
1574069793790932012,48,1574069793790558775,,1,1,0,1,ALT_HOLD,3
1574069794754259920,49,1574069794753962969,,1,1,0,1,ALT_HOLD,3
1574069795740084281,50,1574069795739726850,,1,1,0,1,ALT_HOLD,3
1574069796752956057,51,1574069796752551270,,1,1,0,1,ALT_HOLD,3
1574069797739525197,52,1574069797739191086,,1,1,0,1,ALT_HOLD,3
1574069798756491281,53,1574069798756127994,,1,1,0,1,ALT_HOLD,3
1574069799744855685,54,1574069799744687459,,1,1,0,1,ALT_HOLD,3
1574069800790842997,55,1574069800790648729,,1,1,0,1,ALT_HOLD,3
1574069801740149184,56,1574069801739958397,,1,1,0,1,ALT_HOLD,3
1574069802742887744,57,1574069802742638311,,1,1,0,1,ALT_HOLD,3
1574069803791963887,58,1574069803791715723,,1,1,0,1,ALT_HOLD,3
1574069804781698449,59,1574069804781512316,,1,1,0,1,ALT_HOLD,3
1574069805745252245,60,1574069805745054063,,1,1,0,1,ALT_HOLD,4
1574069806745159251,61,1574069806744880345,,1,1,0,1,ALT_HOLD,4
1574069807745484358,62,1574069807745389530,,1,1,0,1,ALT_HOLD,4
1574069808756686624,63,1574069808756504061,,1,1,0,1,ALT_HOLD,4
1574069809739028761,64,1574069809738638498,,1,1,0,1,ALT_HOLD,4
1574069810751315857,65,1574069810751064918,,1,1,0,1,ALT_HOLD,4
1574069811757066573,66,1574069811756693765,,1,1,0,1,ALT_HOLD,4
1574069812743696225,67,1574069812743386803,,1,1,0,1,ALT_HOLD,4
1574069813748033499,68,1574069813747792654,,1,1,0,1,ALT_HOLD,4
1574069814761096377,69,1574069814760814763,,1,1,0,1,ALT_HOLD,4
1574069815773605490,70,1574069815773207508,,1,1,0,1,ALT_HOLD,4
1574069816775001417,71,1574069816774683850,,1,1,0,1,ALT_HOLD,4
1574069817739594633,72,1574069817739253788,,1,1,0,1,ALT_HOLD,4
1574069818795144604,73,1574069818794840448,,1,1,0,1,ALT_HOLD,4
1574069819750260190,74,1574069819749770546,,1,1,0,1,ALT_HOLD,4
1574069820759683136,75,1574069820759472196,,1,1,0,1,ALT_HOLD,4
1574069821741409828,76,1574069821741148159,,1,1,0,1,ALT_HOLD,4
1574069822755289605,77,1574069822755148232,,1,1,0,1,ALT_HOLD,4
1574069823753625774,78,1574069823753410173,,1,1,0,1,ALT_HOLD,4
1574069824784366990,79,1574069824784219442,,1,1,0,1,ALT_HOLD,4
1574069825738792920,80,1574069825738588925,,1,1,0,1,ALT_HOLD,4
1574069826745377080,81,1574069826745123573,,1,1,0,1,ALT_HOLD,4
1574069827755703505,82,1574069827755478676,,1,1,0,1,ALT_HOLD,4
1574069828755066624,83,1574069828754807283,,1,1,0,1,ALT_HOLD,4
1574069829746251239,84,1574069829746113588,,1,1,0,1,ALT_HOLD,4
1574069830740609492,85,1574069830740320148,,1,1,0,1,ALT_HOLD,4
1574069831804563974,86,1574069831804288103,,1,1,0,1,ALT_HOLD,4
1574069832742129852,87,1574069832741871599,,1,1,0,1,ALT_HOLD,4
1574069833739006427,88,1574069833738815680,,1,1,0,1,ALT_HOLD,4
1574069834810892054,89,1574069834810667045,,1,1,0,1,ALT_HOLD,4
1574069835739819526,90,1574069835739462236,,1,1,0,1,ALT_HOLD,4
1574069836759412501,91,1574069836759004183,,1,1,0,1,ALT_HOLD,4
1574069837755161547,92,1574069837754796642,,1,1,0,1,ALT_HOLD,4
1574069838739439333,93,1574069838739063744,,1,1,0,1,ALT_HOLD,4
1574069839773096083,94,1574069839772751032,,1,1,0,1,ALT_HOLD,4
1574069840796858962,95,1574069840796485491,,1,1,0,1,ALT_HOLD,4
1574069841750434468,96,1574069841750177886,,1,1,0,1,LAND,4
1574069842772806785,97,1574069842772475623,,1,1,0,1,LAND,4
1574069843739268210,98,1574069843738923142,,1,1,0,1,LAND,4
1574069844763408002,99,1574069844763038967,,1,1,0,1,LAND,4
1574069845742139555,100,1574069845741828848,,1,1,0,1,LAND,4
1574069846777177798,101,1574069846776993654,,1,0,0,1,LAND,3
1574069847738051103,102,1574069847737910055,,1,0,0,1,LAND,3
1574069848741024936,103,1574069848740806080,,1,0,0,1,LAND,3
1574069849758478822,104,1574069849758284478,,1,0,0,1,LAND,3
1574069850743423091,105,1574069850743214889,,1,0,0,1,LAND,3
1574069851774764490,106,1574069851774387871,,1,0,0,1,LAND,3
1574069852778042579,107,1574069852777806683,,1,0,0,1,LAND,3
1574069853754209231,108,1574069853753859725,,1,0,0,1,LAND,3
1574069854740257654,109,1574069854739901381,,1,0,0,1,LAND,3
1574069855760014602,110,1574069855759646078,,1,0,0,1,LAND,3
1574069856736670441,111,1574069856736263750,,1,0,0,1,LAND,3
1574069857766203555,112,1574069857766063497,,1,0,0,1,LAND,3
1574069858785128782,113,1574069858784964982,,1,0,0,1,LAND,3
1574069859737145983,114,1574069859736999395,,1,0,0,1,LAND,3
1574069860741961042,115,1574069860741580857,,1,0,0,1,LAND,3
1574069861758311312,116,1574069861758041864,,1,0,0,1,LAND,3
1574069862740688905,117,1574069862740401116,,1,0,0,1,LAND,3
1574069863772763604,118,1574069863772585549,,1,0,0,1,LAND,3
1574069864790554867,119,1574069864790237674,,1,0,1,1,POSHOLD,3
